id,scanner,material,implants,fov,height,width,frames
1,axeos,ti,3,small,349,317,1529
2,axeos,ti,2,small,349,317,1529
3,axeos,ti,1,small,349,324,1529
4,axeos,tizr,3,small,349,323,1530
5,axeos,tizr,2,small,349,324,1529
6,axeos,tizr,1,small,349,323,1529
7,axeos,zr,3,small,349,323,1529
8,axeos,zr,2,small,349,323,1529
9,axeos,zr,1,small,349,323,1529
10,axeos,,0,small,349,324,1529
11,axeos,ti,3,large,501,630,832
12,axeos,ti,2,large,501,630,831
13,axeos,ti,1,large,501,630,832
14,axeos,tizr,3,large,501,630,832
15,axeos,tizr,2,large,501,630,832
16,axeos,tizr,1,large,501,630,832
17,axeos,zr,3,large,501,630,832
18,axeos,zr,2,large,501,630,831
19,axeos,zr,1,large,501,630,832
20,axeos,,0,large,501,630,832
21,accuitomo,ti,3,small,520,560,673
22,accuitomo,ti,2,small,520,560,673
23,accuitomo,ti,1,small,520,560,673
24,accuitomo,tizr,3,small,520,560,673
25,accuitomo,tizr,2,small,520,560,673
26,accuitomo,tizr,1,small,520,560,673
27,accuitomo,zr,3,small,520,560,673
28,accuitomo,zr,2,small,520,560,673
29,accuitomo,zr,1,small,520,560,673
30,accuitomo,,0,small,520,560,673
31,accuitomo,ti,3,large,339,700,579
32,accuitomo,ti,2,large,339,700,580
33,accuitomo,ti,1,large,339,700,580
34,accuitomo,tizr,3,large,339,700,579
35,accuitomo,tizr,2,large,339,700,580
36,accuitomo,tizr,1,large,339,700,579
37,accuitomo,zr,3,large,339,700,579
38,accuitomo,zr,2,large,339,700,580
39,accuitomo,zr,1,large,339,700,579
40,accuitomo,,0,large,339,700,580
42,planmeca,ti,2,small,840,732,500
43,planmeca,ti,1,small,840,732,500
44,planmeca,tizr,3,small,840,732,500
45,planmeca,tizr,2,small,840,732,500
46,planmeca,tizr,1,small,840,732,500
47,planmeca,zr,3,small,840,732,500
48,planmeca,zr,2,small,840,732,500
49,planmeca,zr,1,small,840,732,500
50,planmeca,,0,small,840,732,500
51,planmeca,ti,3,large,420,736,500
52,planmeca,ti,2,large,420,736,500
53,planmeca,ti,1,large,420,736,500
54,planmeca,tizr,3,large,420,736,500
55,planmeca,tizr,2,large,420,736,500
56,planmeca,tizr,1,large,420,736,500
57,planmeca,zr,3,large,420,736,500
58,planmeca,zr,2,large,420,736,500
59,planmeca,zr,1,large,420,736,500
60,planmeca,,0,large,420,736,500
61,x800,ti,3,small,687,740,604
62,x800,ti,2,small,687,740,604
63,x800,ti,1,small,687,740,604
64,x800,tizr,3,small,687,740,604
65,x800,tizr,2,small,687,740,604
66,x800,tizr,1,small,687,740,604
67,x800,zr,3,small,687,740,604
68,x800,zr,2,small,687,740,604
69,x800,zr,1,small,687,740,604
70,x800,,0,small,687,740,604
71,x800,ti,3,large,475,650,604
72,x800,ti,2,large,475,650,604
73,x800,ti,1,large,475,650,604
74,x800,tizr,3,large,475,650,604
75,x800,tizr,2,large,475,650,604
76,x800,tizr,1,large,475,650,604
77,x800,zr,3,large,475,650,604
78,x800,zr,2,large,475,650,604
79,x800,zr,1,large,475,650,604
80,x800,,0,large,475,650,604
81,axeos,ti,3,small,349,321,1530
82,axeos,ti,2,small,349,321,1529
83,axeos,ti,1,small,349,323,1529
84,axeos,tizr,3,small,349,321,1529
85,axeos,tizr,2,small,349,323,1529
86,axeos,tizr,1,small,349,323,1530
87,axeos,zr,3,small,349,317,1529
88,axeos,zr,2,small,349,323,1530
89,axeos,zr,1,small,349,323,1529
90,axeos,,0,small,349,323,1529
91,axeos,ti,3,large,501,629,832
92,axeos,ti,2,large,501,629,832
93,axeos,ti,1,large,501,629,832
94,axeos,tizr,3,large,501,629,832
95,axeos,tizr,2,large,501,629,832
96,axeos,tizr,1,large,501,629,831
97,axeos,zr,3,large,501,629,832
98,axeos,zr,2,large,501,629,832
99,axeos,zr,1,large,501,629,832
100,axeos,,0,large,501,629,832
101,accuitomo,ti,3,small,520,560,673
102,accuitomo,ti,2,small,520,560,673
103,accuitomo,ti,1,small,520,560,673
104,accuitomo,tizr,3,small,520,560,673
105,accuitomo,tizr,2,small,520,560,673
106,accuitomo,tizr,1,small,520,560,673
107,accuitomo,zr,3,small,520,560,673
108,accuitomo,zr,2,small,520,560,673
109,accuitomo,zr,1,small,520,560,673
110,accuitomo,,0,small,520,560,673
111,accuitomo,ti,3,large,339,700,579
112,accuitomo,ti,2,large,339,700,579
113,accuitomo,ti,1,large,339,700,580
114,accuitomo,tizr,3,large,339,700,579
115,accuitomo,tizr,2,large,339,700,579
116,accuitomo,tizr,1,large,339,700,580
117,accuitomo,zr,3,large,339,700,579
118,accuitomo,zr,2,large,339,700,580
119,accuitomo,zr,1,large,339,700,579
120,accuitomo,,0,large,339,700,580
121,planmeca,ti,3,small,840,732,500
122,planmeca,ti,2,small,840,732,500
123,planmeca,ti,1,small,840,732,500
124,planmeca,tizr,3,small,840,732,500
125,planmeca,tizr,2,small,840,732,500
126,planmeca,tizr,1,small,840,732,500
127,planmeca,zr,3,small,840,732,500
128,planmeca,zr,2,small,840,732,500
129,planmeca,zr,1,small,840,732,500
130,planmeca,,0,small,840,732,500
131,planmeca,ti,3,large,420,736,500
132,planmeca,ti,2,large,420,736,500
133,planmeca,ti,1,large,420,736,500
134,planmeca,tizr,3,large,420,736,500
135,planmeca,tizr,2,large,420,736,500
136,planmeca,tizr,1,large,420,736,500
137,planmeca,zr,3,large,420,736,500
138,planmeca,zr,2,large,420,736,500
139,planmeca,zr,1,large,420,736,500
140,planmeca,,0,large,420,736,500
141,x800,ti,3,small,687,740,604
142,x800,ti,2,small,687,740,604
143,x800,ti,1,small,687,740,604
144,x800,tizr,3,small,687,740,604
145,x800,tizr,2,small,687,740,604
146,x800,tizr,1,small,687,740,604
147,x800,zr,3,small,687,740,604
148,x800,zr,2,small,687,740,604
149,x800,zr,1,small,687,740,604
150,x800,,0,small,687,740,604
151,x800,ti,3,large,475,650,604
152,x800,ti,2,large,475,650,604
153,x800,ti,1,large,475,650,604
154,x800,tizr,3,large,475,650,604
155,x800,tizr,2,large,475,650,604
156,x800,tizr,1,large,475,650,604
157,x800,zr,3,large,475,650,604
158,x800,zr,2,large,475,650,604
159,x800,zr,1,large,475,650,604
160,x800,,0,large,475,650,604
161,axeos,ti,3,small,349,317,1529
162,axeos,ti,2,small,349,317,1529
163,axeos,ti,1,small,349,324,1529
164,axeos,tizr,3,small,349,315,1530
165,axeos,tizr,2,small,349,323,1529
166,axeos,tizr,1,small,349,317,1530
167,axeos,zr,3,small,349,310,1529
168,axeos,zr,2,small,349,317,1529
169,axeos,zr,1,small,349,317,1529
170,axeos,,0,small,349,324,1529
171,axeos,ti,3,large,501,629,831
172,axeos,ti,2,large,501,629,832
173,axeos,ti,1,large,501,629,832
174,axeos,tizr,3,large,501,629,831
175,axeos,tizr,2,large,501,629,831
176,axeos,tizr,1,large,501,629,832
177,axeos,zr,3,large,501,629,832
178,axeos,zr,2,large,501,629,832
179,axeos,zr,1,large,501,629,832
180,axeos,,0,large,501,629,832
181,accuitomo,ti,3,small,520,560,673
182,accuitomo,ti,2,small,520,560,673
183,accuitomo,ti,1,small,520,560,673
184,accuitomo,tizr,3,small,520,560,673
185,accuitomo,tizr,2,small,520,560,673
186,accuitomo,tizr,1,small,520,560,673
187,accuitomo,zr,3,small,520,560,673
188,accuitomo,zr,2,small,520,560,673
189,accuitomo,zr,1,small,520,560,673
190,accuitomo,,0,small,520,560,673
191,accuitomo,ti,3,large,339,700,580
192,accuitomo,ti,2,large,339,700,580
193,accuitomo,ti,1,large,339,700,580
194,accuitomo,tizr,3,large,339,700,579
195,accuitomo,tizr,2,large,339,700,579
196,accuitomo,tizr,1,large,339,700,579
197,accuitomo,zr,3,large,339,700,579
198,accuitomo,zr,2,large,339,700,580
199,accuitomo,zr,1,large,339,700,580
200,accuitomo,,0,large,339,700,579
201,planmeca,ti,3,small,840,732,500
202,planmeca,ti,2,small,840,732,500
203,planmeca,ti,1,small,840,732,500
204,planmeca,tizr,3,small,840,732,500
205,planmeca,tizr,2,small,840,732,500
206,planmeca,tizr,1,small,840,732,500
207,planmeca,zr,3,small,840,732,500
209,planmeca,zr,1,small,840,732,500
210,planmeca,,0,small,840,732,500
211,planmeca,ti,3,large,420,736,500
212,planmeca,ti,2,large,420,736,500
213,planmeca,ti,1,large,420,736,500
214,planmeca,tizr,3,large,420,736,500
215,planmeca,tizr,2,large,420,736,500
216,planmeca,tizr,1,large,420,736,500
217,planmeca,zr,3,large,420,736,500
218,planmeca,zr,2,large,420,736,500
219,planmeca,zr,1,large,420,736,500
220,planmeca,,0,large,420,736,500
221,x800,ti,3,small,687,740,604
222,x800,ti,2,small,687,740,604
223,x800,ti,1,small,687,740,604
224,x800,tizr,3,small,687,740,604
225,x800,tizr,2,small,687,740,604
226,x800,tizr,1,small,687,740,604
227,x800,zr,3,small,687,740,604
228,x800,zr,2,small,687,740,604
229,x800,zr,1,small,687,740,604
230,x800,,0,small,687,740,604
231,x800,ti,3,large,475,650,604
232,x800,ti,2,large,475,650,604
233,x800,ti,1,large,475,650,604
234,x800,tizr,3,large,475,650,604
235,x800,tizr,2,large,475,650,604
236,x800,tizr,1,large,475,650,604
237,x800,zr,3,large,475,650,604
238,x800,zr,2,large,475,650,604
239,x800,zr,1,large,475,650,604
240,x800,,0,large,475,650,604
241,axeos,ti,3,small,349,317,1529
242,axeos,ti,2,small,349,317,1529
243,axeos,ti,1,small,349,317,1529
244,axeos,tizr,3,small,349,323,1530
245,axeos,tizr,2,small,349,321,1530
246,axeos,tizr,1,small,349,322,1529
247,axeos,zr,3,small,349,321,1529
248,axeos,zr,2,small,349,322,1529
249,axeos,zr,1,small,349,318,1529
250,axeos,,0,small,349,320,1530
251,axeos,ti,3,large,501,629,832
252,axeos,ti,2,large,501,629,832
253,axeos,ti,1,large,501,629,832
254,axeos,tizr,3,large,501,629,832
255,axeos,tizr,2,large,501,629,832
256,axeos,tizr,1,large,501,629,831
257,axeos,zr,3,large,501,629,832
258,axeos,zr,2,large,501,629,831
259,axeos,zr,1,large,501,629,832
260,axeos,,0,large,501,629,832
261,accuitomo,ti,3,small,520,560,673
262,accuitomo,ti,2,small,520,560,673
263,accuitomo,ti,1,small,520,560,673
264,accuitomo,tizr,3,small,520,560,673
265,accuitomo,tizr,2,small,520,560,673
266,accuitomo,tizr,1,small,520,560,673
267,accuitomo,zr,3,small,520,560,673
268,accuitomo,zr,2,small,520,560,673
269,accuitomo,zr,1,small,520,560,673
270,accuitomo,,0,small,520,560,673
271,accuitomo,ti,3,large,339,700,580
272,accuitomo,ti,2,large,339,700,579
273,accuitomo,ti,1,large,339,700,580
274,accuitomo,tizr,3,large,339,700,579
275,accuitomo,tizr,2,large,339,700,580
276,accuitomo,tizr,1,large,339,700,579
277,accuitomo,zr,3,large,339,700,579
