slice,mask
10_0.nii.gz,mask_529.nii.gz
10_1.nii.gz,mask_530.nii.gz
10_2.nii.gz,mask_22.nii.gz
10_3.nii.gz,mask_563.nii.gz
10_4.nii.gz,mask_547.nii.gz
10_5.nii.gz,mask_685.nii.gz
10_6.nii.gz,mask_229.nii.gz
10_7.nii.gz,mask_599.nii.gz
10_8.nii.gz,mask_647.nii.gz
10_9.nii.gz,mask_984.nii.gz
10_10.nii.gz,mask_515.nii.gz
10_11.nii.gz,mask_486.nii.gz
10_12.nii.gz,mask_835.nii.gz
10_13.nii.gz,mask_741.nii.gz
10_14.nii.gz,mask_971.nii.gz
10_15.nii.gz,mask_865.nii.gz
10_16.nii.gz,mask_776.nii.gz
10_17.nii.gz,mask_328.nii.gz
10_18.nii.gz,mask_650.nii.gz
10_19.nii.gz,mask_467.nii.gz
10_20.nii.gz,mask_807.nii.gz
10_21.nii.gz,mask_486.nii.gz
10_22.nii.gz,mask_326.nii.gz
10_23.nii.gz,mask_174.nii.gz
10_24.nii.gz,mask_464.nii.gz
10_25.nii.gz,mask_168.nii.gz
10_26.nii.gz,mask_262.nii.gz
10_27.nii.gz,mask_900.nii.gz
10_28.nii.gz,mask_52.nii.gz
10_29.nii.gz,mask_962.nii.gz
10_30.nii.gz,mask_390.nii.gz
10_31.nii.gz,mask_585.nii.gz
10_32.nii.gz,mask_284.nii.gz
10_33.nii.gz,mask_671.nii.gz
10_34.nii.gz,mask_281.nii.gz
10_35.nii.gz,mask_440.nii.gz
10_36.nii.gz,mask_150.nii.gz
10_37.nii.gz,mask_631.nii.gz
10_38.nii.gz,mask_284.nii.gz
10_39.nii.gz,mask_549.nii.gz
10_40.nii.gz,mask_41.nii.gz
10_41.nii.gz,mask_665.nii.gz
10_42.nii.gz,mask_36.nii.gz
10_43.nii.gz,mask_554.nii.gz
10_44.nii.gz,mask_34.nii.gz
10_45.nii.gz,mask_601.nii.gz
10_46.nii.gz,mask_824.nii.gz
10_47.nii.gz,mask_340.nii.gz
10_48.nii.gz,mask_575.nii.gz
10_49.nii.gz,mask_900.nii.gz
10_50.nii.gz,mask_469.nii.gz
10_51.nii.gz,mask_346.nii.gz
10_52.nii.gz,mask_521.nii.gz
10_53.nii.gz,mask_725.nii.gz
10_54.nii.gz,mask_175.nii.gz
10_55.nii.gz,mask_639.nii.gz
10_56.nii.gz,mask_391.nii.gz
10_57.nii.gz,mask_388.nii.gz
10_58.nii.gz,mask_723.nii.gz
10_59.nii.gz,mask_62.nii.gz
10_60.nii.gz,mask_840.nii.gz
10_61.nii.gz,mask_252.nii.gz
10_62.nii.gz,mask_719.nii.gz
10_63.nii.gz,mask_337.nii.gz
10_64.nii.gz,mask_296.nii.gz
10_65.nii.gz,mask_840.nii.gz
10_66.nii.gz,mask_329.nii.gz
10_67.nii.gz,mask_326.nii.gz
10_68.nii.gz,mask_621.nii.gz
10_69.nii.gz,mask_283.nii.gz
10_70.nii.gz,mask_556.nii.gz
10_71.nii.gz,mask_139.nii.gz
10_72.nii.gz,mask_279.nii.gz
10_73.nii.gz,mask_557.nii.gz
10_74.nii.gz,mask_136.nii.gz
10_75.nii.gz,mask_279.nii.gz
10_76.nii.gz,mask_566.nii.gz
10_77.nii.gz,mask_687.nii.gz
10_78.nii.gz,mask_430.nii.gz
10_79.nii.gz,mask_959.nii.gz
10_80.nii.gz,mask_413.nii.gz
10_81.nii.gz,mask_761.nii.gz
10_82.nii.gz,mask_262.nii.gz
10_83.nii.gz,mask_76.nii.gz
10_84.nii.gz,mask_872.nii.gz
10_85.nii.gz,mask_973.nii.gz
10_86.nii.gz,mask_592.nii.gz
10_87.nii.gz,mask_62.nii.gz
10_88.nii.gz,mask_507.nii.gz
10_89.nii.gz,mask_3.nii.gz
10_90.nii.gz,mask_813.nii.gz
10_91.nii.gz,mask_282.nii.gz
10_92.nii.gz,mask_748.nii.gz
10_93.nii.gz,mask_923.nii.gz
10_94.nii.gz,mask_811.nii.gz
10_95.nii.gz,mask_883.nii.gz
10_96.nii.gz,mask_523.nii.gz
10_97.nii.gz,mask_841.nii.gz
10_98.nii.gz,mask_334.nii.gz
10_99.nii.gz,mask_724.nii.gz
10_100.nii.gz,mask_779.nii.gz
10_101.nii.gz,mask_95.nii.gz
10_102.nii.gz,mask_535.nii.gz
10_103.nii.gz,mask_63.nii.gz
10_104.nii.gz,mask_966.nii.gz
10_105.nii.gz,mask_315.nii.gz
10_106.nii.gz,mask_161.nii.gz
10_107.nii.gz,mask_584.nii.gz
10_108.nii.gz,mask_941.nii.gz
10_109.nii.gz,mask_840.nii.gz
10_110.nii.gz,mask_826.nii.gz
10_111.nii.gz,mask_313.nii.gz
10_112.nii.gz,mask_865.nii.gz
10_113.nii.gz,mask_228.nii.gz
10_114.nii.gz,mask_950.nii.gz
10_115.nii.gz,mask_478.nii.gz
10_116.nii.gz,mask_252.nii.gz
10_117.nii.gz,mask_646.nii.gz
10_118.nii.gz,mask_592.nii.gz
10_119.nii.gz,mask_774.nii.gz
10_120.nii.gz,mask_665.nii.gz
10_121.nii.gz,mask_596.nii.gz
10_122.nii.gz,mask_661.nii.gz
10_123.nii.gz,mask_50.nii.gz
10_124.nii.gz,mask_427.nii.gz
10_125.nii.gz,mask_906.nii.gz
10_126.nii.gz,mask_279.nii.gz
10_127.nii.gz,mask_459.nii.gz
10_128.nii.gz,mask_211.nii.gz
10_129.nii.gz,mask_6.nii.gz
10_130.nii.gz,mask_890.nii.gz
10_131.nii.gz,mask_864.nii.gz
10_132.nii.gz,mask_281.nii.gz
10_133.nii.gz,mask_149.nii.gz
10_134.nii.gz,mask_111.nii.gz
10_135.nii.gz,mask_734.nii.gz
10_136.nii.gz,mask_705.nii.gz
10_137.nii.gz,mask_410.nii.gz
10_138.nii.gz,mask_677.nii.gz
10_139.nii.gz,mask_490.nii.gz
10_140.nii.gz,mask_455.nii.gz
10_141.nii.gz,mask_609.nii.gz
10_142.nii.gz,mask_991.nii.gz
10_143.nii.gz,mask_998.nii.gz
10_144.nii.gz,mask_212.nii.gz
10_145.nii.gz,mask_52.nii.gz
10_146.nii.gz,mask_409.nii.gz
10_147.nii.gz,mask_831.nii.gz
10_148.nii.gz,mask_167.nii.gz
10_149.nii.gz,mask_63.nii.gz
10_150.nii.gz,mask_678.nii.gz
